Fajl neve;LB1;LB2;LB3;LB4;LB5;LB6;LB7;LB8;LB9;LB10;LB11;LB12;Max;Max tipusa
4d_class1_1000_01.csv;505;503;511;494;505;494;508;498;344;323;343;333;511;LB3
4d_class1_1000_02.csv;488;486;510;501;484;472;503;511;316;330;347;326;511;LB8
4d_class1_1000_03.csv;500;504;503;502;513;508;512;518;327;338;345;331;518;LB8
4d_class1_1000_04.csv;502;505;494;493;483;511;482;490;335;335;325;327;511;LB6
4d_class1_100_01.csv;49;54;51;46;49;52;52;44;34;35;35;29;54;LB2
4d_class1_100_02.csv;51;46;51;48;53;46;57;45;36;33;34;31;57;LB7
4d_class1_100_03.csv;56;54;51;49;56;51;54;46;37;37;34;34;56;LB1
4d_class1_100_04.csv;50;55;54;53;50;56;49;55;33;40;37;38;56;LB6
4d_class1_500_01.csv;241;252;240;251;238;252;247;247;158;171;158;164;252;LB2
4d_class1_500_02.csv;249;247;240;254;263;246;244;247;169;164;156;174;263;LB5
4d_class1_500_03.csv;256;261;252;263;265;258;249;268;170;176;168;169;268;LB8
4d_class1_500_04.csv;246;257;246;252;248;258;243;247;161;174;166;170;258;LB6
4d_class2_1000_01.csv;248;247;249;244;0;0;0;0;104;107;108;98;249;LB3
4d_class2_1000_02.csv;253;250;252;253;0;0;0;0;114;111;117;115;253;LB1
4d_class2_1000_03.csv;251;254;246;250;0;0;0;0;112;120;98;112;254;LB2
4d_class2_1000_04.csv;241;249;252;248;0;0;0;0;89;106;113;109;252;LB3
4d_class2_100_01.csv;27;25;25;25;0;0;0;0;16;10;12;11;27;LB1
4d_class2_100_02.csv;27;25;26;25;0;0;0;0;10;9;14;9;27;LB1
4d_class2_100_03.csv;24;26;24;26;0;0;0;0;8;12;7;13;26;LB2
4d_class2_100_04.csv;27;26;27;25;0;0;0;0;11;12;16;10;27;LB1
4d_class2_500_01.csv;127;126;129;126;0;0;0;0;55;54;67;54;129;LB3
4d_class2_500_02.csv;127;128;126;129;0;0;0;0;61;64;60;62;129;LB4
4d_class2_500_03.csv;126;127;127;124;0;0;0;0;58;65;58;52;127;LB2
4d_class2_500_04.csv;130;124;126;128;0;0;0;0;65;55;54;64;130;LB1
4d_class3_1000_01.csv;500;501;496;492;500;500;500;500;262;264;264;262;501;LB2
4d_class3_1000_02.csv;505;500;499;504;500;500;500;500;264;265;265;260;505;LB1
4d_class3_1000_03.csv;503;501;504;502;500;500;500;500;263;262;263;261;504;LB3
4d_class3_1000_04.csv;501;501;499;499;500;500;500;500;267;263;261;263;501;LB1
4d_class3_100_01.csv;51;50;51;50;50;50;50;50;26;26;26;27;51;LB1
4d_class3_100_02.csv;48;50;51;51;50;50;50;50;27;26;25;26;51;LB3
4d_class3_100_03.csv;50;50;50;50;50;50;50;50;25;25;27;26;50;LB1
4d_class3_100_04.csv;51;49;51;52;50;50;50;50;27;27;27;27;52;LB4
4d_class3_500_01.csv;248;248;251;249;250;250;250;250;132;131;134;133;251;LB3
4d_class3_500_02.csv;251;251;247;253;250;250;250;250;132;133;132;132;253;LB4
4d_class3_500_03.csv;248;247;249;250;250;250;250;250;129;129;131;131;250;LB4
4d_class3_500_04.csv;250;252;252;250;250;250;250;250;130;135;131;134;252;LB2
4d_class4_1000_01.csv;308;309;310;308;200;200;200;200;124;120;121;126;310;LB3
4d_class4_1000_02.csv;312;312;309;311;200;200;200;200;120;128;125;125;312;LB1
4d_class4_1000_03.csv;311;312;309;310;200;200;200;200;124;129;128;125;312;LB2
4d_class4_1000_04.csv;314;310;311;310;200;200;200;200;123;124;125;123;314;LB1
4d_class4_100_01.csv;32;31;31;31;20;20;20;20;12;14;13;12;32;LB1
4d_class4_100_02.csv;32;33;33;31;20;20;20;20;13;13;13;14;33;LB2
4d_class4_100_03.csv;31;33;30;32;20;20;20;20;13;13;11;13;33;LB2
4d_class4_100_04.csv;33;31;34;31;20;20;20;20;12;14;14;13;34;LB3
4d_class4_500_01.csv;155;160;155;154;100;100;100;100;57;61;59;60;160;LB2
4d_class4_500_02.csv;157;155;156;159;100;100;100;100;65;61;61;62;159;LB4
4d_class4_500_03.csv;157;154;155;157;100;100;100;100;63;59;61;62;157;LB1
4d_class4_500_04.csv;155;157;157;157;100;100;100;100;60;65;59;62;157;LB2
4d_class5_1000_01.csv;281;284;279;278;248;250;250;250;125;125;125;125;284;LB2
4d_class5_1000_02.csv;291;286;283;281;250;250;249;249;125;125;125;125;291;LB1
4d_class5_1000_03.csv;277;287;283;284;250;250;249;248;125;125;125;125;287;LB2
4d_class5_1000_04.csv;279;279;286;283;249;250;250;250;125;125;125;125;286;LB3
4d_class5_100_01.csv;31;29;28;28;25;24;25;25;13;13;13;13;31;LB1
4d_class5_100_02.csv;29;29;28;28;25;25;25;25;13;13;13;13;29;LB1
4d_class5_100_03.csv;29;29;30;30;25;25;25;25;13;13;13;13;30;LB3
4d_class5_100_04.csv;27;29;27;28;25;25;25;25;13;13;13;13;29;LB2
4d_class5_500_01.csv;139;140;138;143;125;125;125;125;63;63;63;63;143;LB4
4d_class5_500_02.csv;137;141;140;140;125;125;125;125;63;63;63;63;141;LB2
4d_class5_500_03.csv;143;142;141;141;125;124;125;125;63;63;63;63;143;LB1
4d_class5_500_04.csv;143;141;137;142;124;125;124;125;63;63;63;63;143;LB1
4d_class6_1000_01.csv;300;52;50;51;0;0;0;0;88;0;0;0;300;LB1
4d_class6_1000_02.csv;301;51;52;51;0;0;0;0;79;0;0;0;301;LB1
4d_class6_1000_03.csv;302;50;49;50;0;0;0;0;92;0;0;0;302;LB1
4d_class6_1000_04.csv;301;50;51;51;0;0;0;0;91;0;0;0;301;LB1
4d_class6_100_01.csv;31;6;6;6;0;0;0;0;6;0;0;0;31;LB1
4d_class6_100_02.csv;30;6;5;6;0;0;0;0;7;0;0;0;30;LB1
4d_class6_100_03.csv;31;5;6;5;0;0;0;0;11;0;0;0;31;LB1
4d_class6_100_04.csv;30;5;6;5;0;0;0;0;4;0;0;0;30;LB1
4d_class6_500_01.csv;151;25;25;26;0;0;0;0;43;0;0;0;151;LB1
4d_class6_500_02.csv;149;27;27;26;0;0;0;0;43;0;0;0;149;LB1
4d_class6_500_03.csv;151;26;27;26;0;0;0;0;44;0;0;0;151;LB1
4d_class6_500_04.csv;150;25;26;26;0;0;0;0;39;0;0;0;150;LB1
